group,name,sel,mock,err,mds_name
2124-Wk0,rep2e-d10,mut-virus-rep2e-2124-Wk0-d10,mut-virus-rep2e,wt-DNA-rep2,2124-Wk0-rep2e-d10
2124-Wk0,rep2e-d30,mut-virus-rep2e-2124-Wk0-d30,mut-virus-rep2e,wt-DNA-rep2,2124-Wk0-rep2e-d30
2124-Wk22,rep2e-d10,mut-virus-rep2e-2124-Wk22-d10,mut-virus-rep2e,wt-DNA-rep2,2124-Wk22-rep2e-d10
2124-Wk22,rep2e-d30,mut-virus-rep2e-2124-Wk22-d30,mut-virus-rep2e,wt-DNA-rep2,2124-Wk22-rep2e-d30
2214-Wk0,rep2e-d10,mut-virus-rep2e-2214-Wk0-d10,mut-virus-rep2e,wt-DNA-rep2,2214-Wk0-rep2e-d10
2214-Wk43,rep2e-d10,mut-virus-rep2e-2214-Wk43-d10,mut-virus-rep2e,wt-DNA-rep2,2214-Wk43-rep2e-d10
2423-Wk0,rep2e-d10,mut-virus-rep2e-2423-Wk0-d10,mut-virus-rep2e,wt-DNA-rep2,2423-Wk0-rep2e-d10
2423-Wk18,rep2e-d10,mut-virus-rep2e-2423-Wk18-d10,mut-virus-rep2e,wt-DNA-rep2,2423-Wk18-rep2e-d10
2423-Wk18,rep2e-d30,mut-virus-rep2e-2423-Wk18-d30,mut-virus-rep2e,wt-DNA-rep2,2423-Wk18-rep2e-d30
2425-Wk0,rep2e-d30,mut-virus-rep2e-2425-Wk0-d30,mut-virus-rep2e,wt-DNA-rep2,2425-Wk0-rep2e-d30
2425-Wk18,rep2e-d30,mut-virus-rep2e-2425-Wk18-d30,mut-virus-rep2e,wt-DNA-rep2,2425-Wk18-rep2e-d30
5724-Wk0,rep2e-d30,mut-virus-rep2e-5724-Wk0-d30,mut-virus-rep2e,wt-DNA-rep2,5724-Wk0-rep2e-d30
5724-Wk26,rep2e-d10,mut-virus-rep2e-5724-Wk26-d10,mut-virus-rep2e,wt-DNA-rep2,5724-Wk26-rep2e-d10
5724-Wk26,rep2e-d30,mut-virus-rep2e-5724-Wk26-d30,mut-virus-rep2e,wt-DNA-rep2,5724-Wk26-rep2e-d30
5724-Wk26,rep2e-d77,mut-virus-rep2e-5724-Wk26-d77,mut-virus-rep2e,wt-DNA-rep2,5724-Wk26-rep2e-d77
5727-Wk0,rep2e-d10,mut-virus-rep2e-5727-Wk0-d10,mut-virus-rep2e,wt-DNA-rep2,5727-Wk0-rep2e-d10
5727-Wk26,rep2e-d10,mut-virus-rep2e-5727-Wk26-d10,mut-virus-rep2e,wt-DNA-rep2,5727-Wk26-rep2e-d10
2124-Wk22,rep3e-d3-75,mut-virus-rep3e-2124-Wk22-d3-75,mut-virus-rep3e,wt-DNA-rep3,2124-Wk22-rep3e-d3-75
2214-Wk43,rep3e-d3-75,mut-virus-rep3e-2214-Wk43-d3-75,mut-virus-rep3e,wt-DNA-rep3,2214-Wk43-rep3e-d3-75
2214-Wk43,rep3e-d5,mut-virus-rep3e-2214-Wk43-d5,mut-virus-rep3e,wt-DNA-rep3,2214-Wk43-rep3e-d5
2423-Wk18,rep3e-d5,mut-virus-rep3e-2423-Wk18-d5,mut-virus-rep3e,wt-DNA-rep3,2423-Wk18-rep3e-d5
2425-Wk18,rep3e-d20,mut-virus-rep3e-2425-Wk18-d20,mut-virus-rep3e,wt-DNA-rep3,2425-Wk18-rep3e-d20
5724-Wk26,rep3e-d30,mut-virus-rep3e-5724-Wk26-d30,mut-virus-rep3e,wt-DNA-rep3,5724-Wk26-rep3e-d30
5727-Wk26,rep3e-d3-75,mut-virus-rep3e-5727-Wk26-d3-75,mut-virus-rep3e,wt-DNA-rep3,5727-Wk26-rep3e-d3-75
2124-Wk22,rep1v2a-d5,mut-virus-rep1v2a-2124-Wk22-d5,mut-virus-rep1v2a,wt-DNA-rep1,2124-Wk22-rep1v2a-d5
2124-Wk22,rep1v2a-d7-5,mut-virus-rep1v2a-2124-Wk22-d7-5,mut-virus-rep1v2a,wt-DNA-rep1,2124-Wk22-rep1v2a-d7-5
2214-Wk43,rep1v2a-d2-5,mut-virus-rep1v2a-2214-Wk43-d2-5,mut-virus-rep1v2a,wt-DNA-rep1,2214-Wk43-rep1v2a-d2-5
2214-Wk43,rep1v2a-d4,mut-virus-rep1v2a-2214-Wk43-d4,mut-virus-rep1v2a,wt-DNA-rep1,2214-Wk43-rep1v2a-d4
2214-Wk43,rep1v2a-d6,mut-virus-rep1v2a-2214-Wk43-d6,mut-virus-rep1v2a,wt-DNA-rep1,2214-Wk43-rep1v2a-d6
2423-Wk18,rep1v2a-d2-5,mut-virus-rep1v2a-2423-Wk18-d2-5,mut-virus-rep1v2a,wt-DNA-rep1,2423-Wk18-rep1v2a-d2-5
2423-Wk18,rep1v2a-d3-75,mut-virus-rep1v2a-2423-Wk18-d3-75,mut-virus-rep1v2a,wt-DNA-rep1,2423-Wk18-rep1v2a-d3-75
2425-Wk18,rep1v2a-d30,mut-virus-rep1v2a-2425-Wk18-d30,mut-virus-rep1v2a,wt-DNA-rep1,2425-Wk18-rep1v2a-d30
5724-Wk26,rep1v2a-d20,mut-virus-rep1v2a-5724-Wk26-d20,mut-virus-rep1v2a,wt-DNA-rep1,5724-Wk26-rep1v2a-d20
5727-Wk26,rep1v2a-d4,mut-virus-rep1v2a-5727-Wk26-d4,mut-virus-rep1v2a,wt-DNA-rep1,5727-Wk26-rep1v2a-d4
